Feature1,Feature2,Feature3,Feature4,Label
1.0,-0.0,-39.47841760435743,0.0,0.0
0.9980247543261193,-0.3947215706722285,-39.40043803077277,0.0,0.0
0.9921068204954215,-0.7878837971947417,-39.166807367649525,0.0,0.0
0.9822695772543016,-1.1779334955933956,-38.778448570900956,0.0,0.0
0.9685518865470693,-1.5633297779094693,-38.23689584859342,0.0,0.0
0.9510079399921748,-1.942550139464214,-37.54428860007077,0.0,0.0
0.9297070447986888,-2.3140964735004133,-36.703362964275684,0.0,0.0
0.9047333499687727,-2.676500989440163,-35.71744101065647,0.0,0.0
0.876185513867774,-3.028332011378855,-34.590417615360494,0.0,0.0
0.8441763144752066,-3.368199633908446,-33.32674507455957,0.0,0.0
0.8088322038563198,-3.6947612129267484,-31.931415515692557,0.0,0.0
0.7702928086143079,-4.006726669741339,-30.409941176109026,0.0,0.0
0.7287103782966223,-4.302863587514272,-28.768332627023337,0.0,0.0
0.684249183934452,-4.582002079914132,-27.013075028805076,0.0,0.0
0.6370848690914358,-4.8430394127418674,-25.15110251140909,0.0,0.0
0.5874037559852843,-5.084944360272697,-23.189770781155122,0.0,0.0
0.5354021094234702,-5.306761279104423,-21.13682806207363,0.0,0.0
0.4812853614608055,-5.507613883418411,-19.000384486613793,0.0,0.0
0.4252672998418859,-5.686708706739143,-16.78888005663546,0.0,0.0
0.3675692234344548,-5.843338236516664,-14.51105130125477,0.0,0.0
0.30841906799014274,-5.976883709148782,-12.175896763261562,0.0,0.0
0.24805050568625078,-6.086817554401332,-9.792641450453846,0.0,0.0
0.18670202200583766,-6.172705479569817,-7.37070039232439,0.0,0.0
0.12461597360288072,-6.234208185148983,-4.919641446068107,0.0,0.0
0.062037630874412726,-6.2710827052325735,-2.4491474988450435,0.0,0.0
-0.0007857909780602552,-6.283183367348047,0.03102178438159922,0.0,0.0
-0.06360610857007282,-6.270462367934414,2.5110685163174327,0.0,0.0
-0.12617515078051497,-6.2329699611897915,4.981195293805936,0.0,0.0
-0.18824573914949622,-6.170854260542633,7.4316439023847485,0.0,0.0
-0.24957266435471442,-6.084360653530904,9.852733866027547,0.0,0.0
-0.30991365490876116,-5.9738308324007425,12.23490068978079,0.0,0.0
-0.3690303342505381,-5.83970144425419,14.568733644218351,0.0,0.0
-0.4266891624497968,-5.6825023660786025,16.845012942446587,0.0,0.0
-0.4826623588046139,-5.502854611472188,19.054746162792753,0.0,0.0
-0.5367288016870836,-5.301467877335162,21.18920377328903,0.0,0.0
-0.5886749020823937,-5.07913774021829,23.239953617612958,0.0,0.0
-0.6382954473703831,-4.836742513404596,25.198894226248136,0.0,0.0
-0.6853944120162206,-4.5752397771403475,27.058286821269377,0.0,0.0
-0.7297857319675837,-4.295662595722574,28.81078588831793,0.0,0.0
-0.7712940396990892,-3.9991154363874952,30.44946819499248,0.0,0.0
-0.8097553570001834,-3.68676980612227,31.96786014101878,0.0,0.0
-0.8450177427696453,-3.3598596236367673,33.359963332151544,0.0,0.0
-0.8769418932575905,-3.0196763447783974,34.620278276779,0.0,0.0
-0.9054016923837322,-2.6675638606469407,35.74382611161695,0.0,0.0
-0.9302847099578634,-2.3049131885643974,36.72616827066506,0.0,0.0
-0.9514926458343516,-1.9331569768730867,37.5634240197235,0.0,0.0
-0.9689417182460123,-1.5537638452707772,38.25228578719971,0.0,0.0
-0.9825629947832571,-1.1682325830412605,38.7900322306415,0.0,0.0
-0.9923026647109803,-0.778086228100264,39.174538987376756,0.0,0.0
-0.998122251547402,-0.38486605024734766,39.404287066789834,0.0,0.0
-0.9999987650650776,0.009874537607120698,39.47836885108085,0.0,0.0
-0.9979247921135915,0.40457611618620615,39.396491680801944,0.0,0.0
-0.9919085259051442,0.7976794203187845,39.158979011005876,0.0,0.0
-0.9819737336473378,1.1876314988031114,38.76676913343965,0.0,0.0
-0.9681596626510286,1.572891849327085,38.22141146983112,0.0,0.0
-0.950520885284165,1.9519385042093278,37.52506045091179,0.0,0.0
-0.9291270833841196,2.3232740429193317,36.6804670053569,0.0,0.0
-0.9040627729801947,2.6854315076243016,35.69096769226552,0.0,0.0
-0.8754269704137781,3.0369801983933984,34.56047152011259,0.0,0.0
-0.8433328011751451,3.3765313251654168,33.29344450424492,0.0,0.0
-0.8079070530021866,3.702743494151922,31.894892023926054,0.0,0.0
-0.7692896750065471,4.014328007001804,30.37033904862888,0.0,0.0
-0.7276332248058722,4.3100539517929475,28.725808311691516,0.0,0.0
-0.6831022658462578,4.588753065739151,26.967796517561354,0.0,0.0
-0.6358727172957818,4.849324350402135,25.10324867662039,0.0,0.0
-0.5861311590773512,5.0907384211763675,23.13953066898173,0.0,0.0
-0.5340740947863323,5.312041573864025,21.084400145644,0.0,0.0
-0.4799071754047965,5.5123595522751865,18.94597588195817,0.0,0.0
-0.4238443868790946,5.690901001969335,16.73270570447573,0.0,0.0
-0.3661072047702304,5.8469605964942355,14.453333117883155,0.0,0.0
-0.3069237193165683,5.979921823771984,12.11686276386207,0.0,0.0
-0.24652773436532338,6.089259421624631,9.732524848330335,0.0,0.0
-0.185157843732485,6.174541452817876,7.309738677593399,0.0,0.0
-0.12305648864001043,6.235431011425371,4.858075447456198,0.0,0.0
-0.06046899995387845,6.271687553772666,2.3872204322970836,0.0,0.0
0.0023573709933782144,6.283167848702918,-0.09306527652498407,0.0,0.0
0.06517442916692384,6.269826543410338,-2.572983331777433,0.0,0.0
0.12773401632194936,6.231716342606051,-5.042736838639725,0.0,0.0
0.18978899135068023,6.168987800308594,-7.492569057251934,0.0,0.0
0.25109420661117987,6.081888725081574,-9.912801946630966,0.0,0.0
0.31140747638098903,5.970763201068071,-12.293874397687759,0.0,0.0
0.37049053360972767,5.836050228689214,-14.626380004306052,0.0,0.0
0.4281099711910128,5.678281990376822,-16.901104223268234,0.0,0.0
0.48403816403521666,5.498081748191299,-19.10906077622875,0.0,0.0
0.5380541683004146,5.296161381630258,-21.241527149928984,0.0,0.0
0.589944594229114,5.073318575354739,-23.290079054410157,0.0,0.0
0.6395044491426528,4.830433667942845,-25.246623703098205,0.0,0.0
0.6865379472629987,4.568466174119808,-27.10343178328698,0.0,0.0
0.7308592831627722,4.2884509942033695,-28.85316799072124,0.0,0.0
0.7722933657879806,3.991494325739027,-30.488920007652666,0.0,0.0
0.8106765101537093,3.678769293476219,-32.004225809891246,0.0,0.0
0.8458570839802426,3.351511314949123,-33.39309919497605,0.0,0.0
0.8776961067150693,3.0110132199703954,-34.65005343061617,0.0,0.0
0.9060677985743542,2.65862014331818,-35.770122929979166,0.0,0.0
0.9308600774348859,2.295724210792802,-36.74888286819892,0.0,0.0
0.9519750016135345,1.923759039635841,-37.582466662607956,0.0,0.0
